CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
-0.4197819386460083,0.28482986096735546,-1.287909498957745,-0.27259856706992697,-0.14421743255530314,0.4136718893017581,-0.12001341619804987,0.14021360349292905,-0.9828428567665056,-0.6666082090210984,-1.4590003802772022,0.4410519326070325,-1.0755623045678657
-0.4173392644935286,-0.48772236467012914,-0.5933810131002402,-0.27259856706992697,-0.7402622069004932,0.19427445318162764,0.36716641853177445,0.5571598750882428,-0.8678825041257632,-0.9873294849630003,-0.30309414801650153,0.4410519326070325,-0.492439365735295
-0.4173415919581808,-0.48772236467012914,-0.5933810131002402,-0.27259856706992697,-0.7402622069004932,1.282713681725651,-0.2658117608982163,0.5571598750882428,-0.8678825041257632,-0.9873294849630003,-0.30309414801650153,0.39642699409025545,-1.208727398772419
-0.416750415936523,-0.48772236467012914,-1.3068777139076349,-0.27259856706992697,-0.8352838375932041,1.0163025092940647,-0.8098885106329836,1.0777366189304816,-0.7529221514850207,-1.1061151427192604,0.11303209559735014,0.41616283913453045,-1.3615168226492227
-0.41248184576439545,-0.48772236467012914,-1.3068777139076349,-0.27259856706992697,-0.8352838375932041,1.2285766520336716,-0.5111797068570327,1.0777366189304816,-0.7529221514850207,-1.1061151427192604,0.11303209559735014,0.4410519326070325,-1.0265014803872408
-0.4170436764826997,-0.48772236467012914,-1.3068777139076349,-0.27259856706992697,-0.8352838375932041,0.20709638126656957,-0.3511571334056307,1.0777366189304816,-0.7529221514850207,-1.1061151427192604,0.11303209559735014,0.410571016371986,-1.0433223343920266
-0.4102428247689828,0.04877223646701293,-0.47665353648553344,-0.27259856706992697,-0.26515405343693593,-0.3884109453452136,-0.07022861556872506,0.839243922020929,-0.5230014462035358,-0.5775189657039035,-1.505236629567631,0.42679826674172333,-0.03126761843742067
-0.40369566670235524,0.04877223646701293,-0.47665353648553344,-0.27259856706992697,-0.26515405343693593,-0.16046555716845437,0.978808254834911,1.024637886132401,-0.5230014462035358,-0.5775189657039035,-1.505236629567631,0.4410519326070325,0.910700205830578
-0.3959347358196075,0.04877223646701293,-0.47665353648553344,-0.27259856706992697,-0.26515405343693593,-0.9312059009411201,1.1174944851594597,1.0871964647915542,-0.5230014462035358,-0.5775189657039035,-1.505236629567631,0.3284479722710865,2.4217735905938262
-0.40072931300313136,0.04877223646701293,-0.47665353648553344,-0.27259856706992697,-0.26515405343693593,-0.39980821475405154,0.6160904216783999,1.3296347255527103,-0.5230014462035358,-0.5775189657039035,-1.505236629567631,0.32932512093972083,0.6233439499154895
